a,b,link_id,link_id2,distance,dircode,time,congtime,area_type,facl_type,num_lanes,capacity,twoway,location,screenline,zone,constructn,ccc,evac,corridor,c_segment,cosite,aadt,pswadt,auto,lt_trk,hy_trk,pddir_cnt,pdtrk_dir,dir_count,dltrk_dir,vol_total,trk_vol,vht,cht,vht1,cht1,trk_pct,spd_lnk,spd_lnk2,speed_org,speed_cng,uroadfactor,confactor,anode,bnode
5015,5010,501005015,0501005015,.8,1,1.15,1.15,31,21,2,5942,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1127.45,107,21.61,0,21.64,114.07,9.49,0,0,42,41.88,.75,.4521,5010,5015
5015,5017,501505017,0501505017,.84,2,1.2,1.21,31,21,2,5942,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1482.52,128,29.65,0,29.78,119.34,8.63,0,0,42,41.89,.75,.4521,5015,5017
5016,5014,501405016,0501405016,.82,1,1.26,1.26,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,110.1,9,2.31,0,2.31,15.78,8.17,0,0,39,38.92,.85,.4521,5014,5016
5016,5018,501605018,0501605018,1.7,2,2.83,2.91,51,43,1,785,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,446.39,25,21.05,0,21.69,38.15,5.6,0,0,36,35,.85,.4521,5016,5018
5017,5015,501505017,0501505017,.84,1,1.2,1.2,31,21,2,5942,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1193.51,100,23.87,0,23.92,119.07,8.38,0,0,42,41.99,.75,.4521,5015,5017
5017,5019,501705019,0501705019,1.23,2,1.75,1.76,31,21,2,5942,2,1,99,0,0,1,1,1,1001001,FD_100006,15000,16000,1129,53,22,1204,75,8064,579,1482.52,128,43.24,35.12,43.42,174.03,8.63,0,0,42,41.94,.75,.4521,5017,5019
5018,5011,501105018,0501105018,1.16,1,1.83,1.83,31,31,1,3662,2,1,2,0,0,1,1,62,1062001,FD_100085,3200,3400,409,23,26,457,49,1681,183,325.28,57,9.92,13.94,9.92,111.69,17.52,0,0,38,37.99,.75,.4521,5011,5018
5018,5016,501605018,0501605018,1.7,1,2.83,2.83,51,43,1,785,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,200.42,32,9.45,0,9.46,37.09,15.97,0,0,36,36,.85,.4521,5016,5018
5018,5022,501805022,0501805022,1.48,2,2.34,2.34,31,31,1,3662,2,1,99,0,0,1,1,62,1062001,X,0,0,0,0,0,0,0,0,0,596.51,60,23.26,0,23.27,142.86,10.06,0,0,38,38.01,.75,.4521,5018,5022
5019,5017,501705019,0501705019,1.23,1,1.75,1.75,31,21,2,5942,2,1,99,0,0,1,1,1,1001001,FD_100006,15000,16000,1305,67,43,1415,110,7936,562,1193.51,100,34.81,41.27,34.88,173.64,8.38,0,0,42,42.03,.75,.4521,5017,5019
5019,5020,501905020,0501905020,.34,2,.54,.56,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1482.52,128,13.34,0,13.78,30.82,8.63,0,0,38,36.57,.75,.4521,5019,5020
5020,5019,501905020,0501905020,.34,1,.54,.55,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1193.51,100,10.74,0,10.91,30.31,8.38,0,0,38,37.2,.75,.4521,5019,5020
5020,5023,502005023,0502005023,.27,2,.42,.43,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1420.88,115,9.95,0,10.23,23.87,8.09,0,0,38,37.18,.75,.4521,5020,5023
5021,5030,502105030,0502105030,1.44,2,2.21,2.21,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,103.2,19.65,3.8,0,3.8,27.67,19.04,0,0,39,39.01,.85,.4521,5021,5030
5022,5018,501805022,0501805022,1.48,1,2.34,2.34,31,31,1,3662,2,1,99,0,0,1,1,62,1062001,X,0,0,0,0,0,0,0,0,0,438.64,73,17.11,0,17.11,142.82,16.64,0,0,38,38.02,.75,.4521,5018,5022
5022,5027,502205027,0502205027,.31,2,.49,.49,31,31,1,3662,2,1,99,0,0,1,1,62,1062001,X,0,0,0,0,0,0,0,0,0,596.51,60,4.87,0,4.87,29.91,10.06,0,0,38,37.78,.75,.4521,5022,5027
5023,5020,502005023,0502005023,.27,1,.42,.43,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1137.75,96,7.96,0,8.07,23.52,8.44,0,0,38,37.74,.75,.4521,5020,5023
5023,5026,502305026,0502305026,.25,2,.4,.41,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1258.51,108,8.39,0,8.54,22.52,8.58,0,0,38,37.47,.75,.4521,5023,5026
5024,5012,502405012,0502405012,2.48,2,2.29,2.35,32,12,3,11621,0,1,99,0,0,1,1,51,1051001,X,0,0,0,0,0,0,0,0,0,5010.24,973.05,191.22,0,196.48,455.75,19.42,77,0,65,63.3,.7,.4521,5012,5024
5025,5037,502505037,0502505037,1.47,1,1.36,1.42,32,12,3,11621,0,1,99,0,0,1,1,51,1051001,X,0,0,0,0,0,0,0,0,0,5708.18,968.05,129.39,0,135,274.85,16.96,76,0,65,62.17,.7,.4521,5025,5037
5026,5023,502305026,0502305026,.25,1,.4,.4,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1040.62,90,6.94,0,7,22.32,8.65,0,0,38,37.8,.75,.4521,5023,5026
5026,5028,502605028,0502605028,.14,2,.22,.24,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1933.55,125,7.09,0,7.68,13.17,6.46,0,0,38,35.24,.75,.4521,5026,5028
5027,5022,502205027,0502205027,.31,1,.49,.49,31,31,1,3662,2,1,99,0,0,1,1,62,1062001,X,0,0,0,0,0,0,0,0,0,438.64,73,3.58,0,3.58,29.91,16.64,0,0,38,37.78,.75,.4521,5022,5027
5027,5057,502705057,0502705057,1.94,2,3.06,3.08,31,31,1,3662,2,1,99,0,0,1,1,62,1062001,X,0,0,0,0,0,0,0,0,0,1260.81,80,64.3,0,64.73,188,6.35,0,0,38,37.78,.75,.4521,5027,5057
5028,5026,502605028,0502605028,.14,1,.22,.22,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1226.71,110,4.5,0,4.57,12.37,8.97,0,0,38,37.52,.75,.4521,5026,5028
5028,5029,502805029,0502805029,.37,2,.58,.62,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1813.74,123,17.53,0,18.69,34.18,6.78,0,0,38,35.68,.75,.4521,5028,5029
5029,5028,502805029,0502805029,.37,1,.58,.59,31,23,2,3317,2,1,99,0,0,1,1,1,1001001,X,0,0,0,0,0,0,0,0,0,1187.28,107,11.48,0,11.65,32.54,9.01,0,0,38,37.47,.75,.4521,5028,5029
5029,5031,502905031,0502905031,.27,2,.42,.43,31,23,3,4975,2,1,99,0,0,0,1,519,1519001,FD_100140,14500,15500,1300,36,28,1364,64,7510,460,1882.32,157,13.18,9.55,13.42,35.46,8.34,0,0,38,37.18,.75,.4521,5029,5031
5029,5033,502905033,0502905033,.26,2,.41,.42,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,1367.27,126,9.34,0,9.57,23.22,9.22,0,0,38,36.79,.75,.4521,5029,5033
5030,5021,502105030,0502105030,1.44,1,2.21,2.21,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,98.04,16.65,3.61,0,3.61,27.67,16.98,0,0,39,39.01,.85,.4521,5021,5030
5030,5036,503005036,0503005036,.66,2,1.02,1.02,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,103.2,19.65,1.75,0,1.75,12.77,19.04,0,0,39,39.04,.85,.4521,5030,5036
5031,5029,502905031,0502905031,.27,1,.42,.42,31,23,3,4975,2,1,99,0,0,0,1,519,1519001,FD_100140,14500,15500,1241,69,33,1343,102,7990,511,1444.82,156,10.11,9.4,10.19,35.08,10.8,0,0,38,37.59,.75,.4521,5029,5031
5031,5032,503105032,0503105032,.16,2,.26,.27,31,23,3,4975,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2115.67,169,9.17,0,9.42,22.15,7.99,0,0,38,36.99,.75,.4521,5031,5032
5032,5031,503105032,0503105032,.16,1,.26,.26,31,23,3,4975,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,1440.92,164,6.24,0,6.29,21.71,11.38,0,0,38,37.74,.75,.4521,5031,5032
5032,5038,503205038,0503205038,1.26,2,1.99,2.2,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2062.83,175,68.42,0,75.52,121.43,8.48,0,0,38,34.36,.75,.4521,5032,5038
5033,5029,502905033,0502905033,.26,1,.41,.42,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,1415.68,110,9.67,0,9.94,23.29,7.77,0,0,38,36.68,.75,.4521,5029,5033
5033,5034,503305034,0503305034,.26,2,.4,.42,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,1578.6,132,10.52,0,10.95,23.01,8.36,0,0,38,36.95,.75,.4521,5033,5034
5034,5033,503305034,0503305034,.26,1,.4,.41,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,1503.27,113,10.02,0,10.37,22.87,7.52,0,0,38,37.18,.75,.4521,5033,5034
5034,5039,503405039,0503405039,.25,2,.4,.41,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,1511.93,132,10.08,0,10.43,22.88,8.73,0,0,38,36.77,.75,.4521,5034,5039
5034,8850,503408850,0503408850,1.7,2,3.29,3.29,31,42,1,1715,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,202.8,7,11.12,0,11.12,94.06,3.45,0,0,31,31.02,.85,.4521,5034,8850
5035,5024,503505024,0503505024,1.49,2,1.37,1.41,32,12,3,11621,0,1,99,0,0,1,1,51,1051001,X,0,0,0,0,0,0,0,0,0,5010.24,973.05,114.4,0,117.55,272.65,19.42,77,0,65,63.48,.7,.4521,5024,5035
5036,5030,503005036,0503005036,.66,1,1.02,1.02,52,43,1,751,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,98.04,16.65,1.67,0,1.67,12.77,16.98,0,0,39,39.04,.85,.4521,5030,5036
5036,5082,503605082,0503605082,2.87,2,4.41,4.42,52,43,1,751,2,1,1,0,0,0,0,0,0,HI_220765,1150,1220,0,0,0,81,0,619,0,208.7,26.65,15.34,5.95,15.37,55.31,12.77,0,0,39,38.96,.85,.4521,5036,5082
5037,5047,503705047,0503705047,.5,1,.46,.47,31,12,3,13672,0,1,99,0,0,1,1,51,1051002,X,0,0,0,0,0,0,0,0,0,4672.95,731.05,35.83,0,36.26,106.1,15.64,0,0,65,64.62,.7,.4521,5037,5047
5037,5050,503705050,0503705050,.63,1,1.26,1.27,31,71,1,3196,0,1,99,0,0,0,0,0,0,FD_102701,0,0,0,0,0,0,0,0,0,1035.23,237,21.74,0,21.85,67.47,22.89,0,0,30,29.84,.75,.4521,5037,5050
5038,5032,503205038,0503205038,1.26,1,1.99,2.05,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,1467.28,167,48.66,0,50.2,113.47,11.38,0,0,38,36.77,.75,.4521,5032,5038
5038,5040,503805040,0503805040,.26,2,.42,.46,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2062.83,175,14.44,0,15.94,25.63,8.48,0,0,38,34.14,.75,.4521,5038,5040
5039,5034,503405039,0503405039,.25,1,.4,.41,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,1310.61,103,8.74,0,8.92,22.58,7.86,0,0,38,37.26,.75,.4521,5034,5039
5039,5049,503905049,0503905049,.5,2,.79,.8,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,FD_100005,16500,17500,1314,58,30,1402,88,8783,548,1242.08,104,16.35,18.46,16.64,44.44,8.37,0,0,38,37.27,.75,.4521,5039,5049
5040,5038,503805040,0503805040,.26,1,.42,.43,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,1467.28,167,10.27,0,10.59,23.95,11.38,0,0,38,36.53,.75,.4521,5038,5040
5040,5041,504005041,0504005041,.5,2,.79,.92,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,FD_100141,26000,27500,2311,105,51,2467,156,13625,799,2375.51,198,31.28,32.48,36.6,51.1,8.34,0,0,38,32.39,.75,.4521,5040,5041
5041,5040,504005041,0504005041,.5,1,.79,.82,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,FD_100141,26000,27500,1609,76,46,1731,122,13874,644,1610.05,181,21.2,22.79,22.12,45.57,11.24,0,0,38,36.32,.75,.4521,5040,5041
5041,5042,504105042,0504105042,.12,2,.2,.27,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2944.15,235,9.81,0,13.35,15.04,7.98,0,0,38,27.25,.75,.4521,5041,5042
5041,8906,504108906,0504108906,.47,2,.94,.95,31,43,1,1310,2,1,99,0,0,0,0,0,0,HI_210160,7000,7400,0,0,0,688,0,3902,0,539.09,35,8.45,10.78,8.52,20.69,6.49,0,0,30,29.82,.85,.4521,5041,8906
5042,5041,504105042,0504105042,.12,1,.2,.22,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2096.54,215,6.99,0,7.76,12.27,10.25,0,0,38,33.41,.75,.4521,5041,5042
5042,5043,504205043,0504205043,.1,2,.15,.2,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2932.34,262,7.33,0,9.94,11.24,8.93,0,0,38,28.47,.75,.4521,5042,5043
5043,5042,504205043,0504205043,.1,1,.15,.18,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2419.68,244,6.05,0,7.15,9.8,10.08,0,0,38,32.67,.75,.4521,5042,5043
5043,5044,504305044,0504305044,.15,2,.23,.31,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2932.34,262,11.24,0,15.24,17.24,8.93,0,0,38,28.36,.75,.4521,5043,5044
5044,5035,504405035,0504405035,.47,2,.94,.94,31,71,1,3196,0,1,99,0,0,0,0,0,0,FD_102700,0,0,0,0,0,0,0,0,0,983.6,251,15.41,0,15.48,50.29,25.52,0,0,30,30.02,.75,.4521,5035,5044
5044,5043,504305044,0504305044,.15,1,.23,.24,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,1393.85,139,5.34,0,5.48,13.05,9.97,0,0,38,37.47,.75,.4521,5043,5044
5044,5046,504405046,0504405046,.11,2,.17,.21,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2646.13,180,7.5,0,9.36,11.73,6.8,0,0,38,29.8,.75,.4521,5044,5046
5045,5035,504505035,0504505035,.48,2,.45,.45,31,12,3,13672,0,1,99,0,0,1,1,51,1051002,X,0,0,0,0,0,0,0,0,0,4026.64,722.05,30.2,0,30.42,103.28,17.93,0,0,65,64.02,.7,.4521,5035,5045
5045,5046,504505046,0504505046,.36,2,.86,1.1,31,72,1,1677,0,1,99,0,0,0,0,0,0,FD_102704,0,0,0,0,0,0,0,0,0,1470.66,223.65,21.08,0,27,30.78,15.21,0,0,25,19.57,.75,.4521,5045,5046
5046,5044,504405046,0504405046,.11,1,.17,.19,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2091.24,308,5.93,0,6.57,10.42,14.73,0,0,38,33.54,.75,.4521,5044,5046
5046,5048,504605048,0504605048,.12,2,.2,.43,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,4116.79,403.65,13.72,0,29.73,23.95,9.8,0,0,38,17.1,.75,.4521,5046,5048
5047,5054,504705054,0504705054,.38,1,.35,.36,31,12,3,13672,0,1,99,0,0,1,1,51,1051002,X,0,0,0,0,0,0,0,0,0,6045.24,823.05,35.26,0,36.32,82.15,13.61,110,0,65,63.58,.7,.4521,5047,5054
5048,5046,504605048,0504605048,.12,1,.2,.22,31,23,2,3317,2,1,99,0,0,0,1,519,1519001,X,0,0,0,0,0,0,0,0,0,2091.24,308,6.97,0,7.73,12.26,14.73,0,0,38,33.41,.75,.4521,5046,5048
5048,5047,504805047,0504805047,.39,1,.94,1.14,31,72,1,1677,0,1,99,0,0,0,0,0,0,FD_102705,0,0,0,0,0,0,0,0,0,1372.29,92,21.5,0,26.07,31.86,6.7,0,0,25,20.52,.75,.4521,5047,5048
5048,5050,504805050,0504805050,.14,2,.23,.29,31,23,2,3317,2,1,99,0,0,0,1,519,1519002,X,0,0,0,0,0,0,0,0,0,2744.5,311.65,10.52,0,13.49,16.3,11.36,0,0,38,29.2,.75,.4521,5048,5050
5049,5039,503905049,0503905049,.5,1,.79,.8,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,FD_100005,16500,17500,1252,62,31,1346,93,8717,495,1108.7,79,14.6,17.72,14.77,44.18,7.13,0,0,38,37.49,.75,.4521,5039,5049
5049,5053,504905053,0504905053,.32,2,.5,.51,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,1332.32,102,11.1,0,11.35,28.26,7.66,0,0,38,36.97,.75,.4521,5049,5053
5050,5048,504805050,0504805050,.14,1,.23,.26,31,23,2,3317,2,1,99,0,0,0,1,519,1519002,X,0,0,0,0,0,0,0,0,0,2091.24,308,8.02,0,8.89,14.1,14.73,0,0,38,33.76,.75,.4521,5048,5050
5050,5051,505005051,0505005051,.25,2,.39,.65,31,23,2,3317,2,1,99,0,0,0,1,519,1519002,X,0,0,0,0,0,0,0,0,0,3523.79,490.65,22.9,0,38.41,36.15,13.92,0,0,38,22.61,.75,.4521,5050,5051
5051,5050,505005051,0505005051,.25,1,.39,.42,31,23,2,3317,2,1,99,0,0,0,1,519,1519002,X,0,0,0,0,0,0,0,0,0,1835.29,250,11.93,0,12.75,23.04,13.62,0,0,38,35.46,.75,.4521,5050,5051
5051,5052,505105052,0505105052,.06,2,.1,.17,31,23,2,3317,2,1,99,0,0,0,1,519,1519002,X,0,0,0,0,0,0,0,0,0,3523.79,490.65,5.87,0,9.85,9.27,13.92,0,0,38,22.15,.75,.4521,5051,5052
5051,5054,505105054,0505105054,.55,1,1.1,1.2,31,71,1,3196,0,1,99,0,0,0,0,0,0,FD_102703,0,0,0,0,0,0,0,0,0,2115.18,249.65,38.78,0,42.3,63.92,11.8,0,0,30,27.52,.75,.4521,5051,5054
5052,5051,505105052,0505105052,.06,1,.1,.2,31,23,2,3317,2,1,99,0,0,0,1,519,1519002,X,0,0,0,0,0,0,0,0,0,3950.47,499.65,6.58,0,13.23,11.11,12.65,0,0,38,18.48,.75,.4521,5051,5052
5052,5056,505205056,0505205056,.63,2,1,1.16,31,23,2,3317,2,1,99,0,0,0,1,519,1519002,FD_100142,32000,34000,2551,89,47,2687,136,17231,747,2321.42,373.65,38.69,44.78,44.77,63.96,16.1,0,0,38,32.76,.75,.4521,5052,5056
5052,5058,505205058,0505205058,.32,2,.51,.52,31,23,2,3317,2,1,99,0,0,0,0,0,0,HI_210170,7400,7800,0,0,0,587,0,3501,0,1380.35,125,11.73,4.99,12.03,28.91,9.06,0,0,38,36.96,.75,.4521,5052,5058
5053,5049,504905053,0504905053,.32,1,.5,.5,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,899.49,74,7.5,0,7.54,27.79,8.23,0,0,38,37.59,.75,.4521,5049,5053
5053,5060,505305060,0505305060,.46,2,.9,.9,31,42,1,1715,2,1,99,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,450.17,20,6.75,0,6.76,25.77,4.44,0,0,31,30.81,.85,.4521,5053,5060
5053,5065,505305065,0505305065,.75,2,1.18,1.22,31,23,2,3317,2,1,99,0,0,1,1,1,1001002,X,0,0,0,0,0,0,0,0,0,1492.14,118,29.35,0,30.33,67.41,7.91,0,0,38,36.79,.75,.4521,5053,5065
5054,5075,505405075,0505405075,1.25,1,1.16,1.26,31,12,3,13672,0,1,99,0,0,1,1,51,1051002,X,0,0,0,0,0,0,0,0,0,8160.42,1072.7,157.77,0,171.31,287.02,13.15,206,0,65,59.7,.7,.4521,5054,5075
5055,5043,505505043,0505505043,.63,2,1.26,1.27,31,71,1,3196,0,1,99,0,0,0,0,0,0,FD_102702,0,0,0,0,0,0,0,0,0,1025.83,105,21.54,0,21.65,67.46,10.24,0,0,30,29.78,.75,.4521,5043,5055
5055,5045,505505045,0505505045,.43,2,.4,.41,31,12,3,13672,0,1,99,0,0,1,1,51,1051002,X,0,0,0,0,0,0,0,0,0,5497.31,945.7,36.65,0,37.44,93.11,17.2,112,0,65,63.11,.7,.4521,5045,5055
